                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.40553,                 0.2751,                0.85836,                0.97815,                0.94926,                0.97394,                0.90968,                0.33535,                0.21328,                0.86428,              0.0056935,              0.0056935,              0.0056935
                     90,                0.39398,                0.27204,                0.86015,                0.97763,                0.93327,                0.96862,                0.90841,                0.30678,                0.21299,                0.86238,               0.005644,               0.005644,               0.005644
                     91,                0.40281,                0.27317,                0.85837,                0.96669,                0.92057,                0.95865,                0.88804,                0.35335,                0.23497,                0.87835,              0.0055945,              0.0055945,              0.0055945
                     92,                 0.3866,                0.26525,                0.85793,                0.96604,                0.95199,                0.97263,                0.91336,                 0.3028,                0.20072,                0.85881,               0.005545,               0.005545,               0.005545
                     93,                0.40121,                0.27094,                0.86029,                0.97849,                0.94771,                0.97401,                0.91479,                 0.3044,                0.19434,                0.86067,              0.0054955,              0.0054955,              0.0054955
                     94,                0.39082,                 0.2678,                0.86028,                0.95464,                0.94923,                0.97222,                0.90516,                0.32421,                 0.2102,                0.86629,               0.005446,               0.005446,               0.005446
                     95,                 0.3886,                0.26847,                0.86065,                0.96987,                0.95237,                0.97389,                0.91184,                0.32914,                 0.2117,                0.85953,              0.0053965,              0.0053965,              0.0053965
                     96,                0.39722,                0.27022,                0.85756,                0.96355,                0.95259,                0.97439,                0.91108,                0.31155,                0.20906,                0.85982,               0.005347,               0.005347,               0.005347
                     97,                0.38659,                0.26302,                0.85386,                0.98082,                0.93813,                0.97301,                0.91412,                0.29599,                0.20263,                0.85731,              0.0052975,              0.0052975,              0.0052975
                     98,                0.37832,                0.25972,                0.85071,                0.96085,                0.94693,                 0.9709,                0.90738,                0.32901,                0.20656,                0.86307,               0.005248,               0.005248,               0.005248
                     99,                0.37978,                0.25726,                 0.8569,                0.97511,                0.95517,                0.97531,                0.91844,                0.29336,                0.19046,                0.85479,              0.0051985,              0.0051985,              0.0051985
                    100,                0.39483,                0.26702,                0.86126,                0.96572,                 0.9541,                0.97259,                0.91201,                  0.304,                0.20246,                0.86058,               0.005149,               0.005149,               0.005149
                    101,                0.38083,                0.26031,                0.85499,                0.97749,                0.94025,                0.97182,                0.90843,                0.31049,                0.20696,                0.86531,              0.0050995,              0.0050995,              0.0050995
                    102,                0.37708,                0.25632,                0.85341,                0.97185,                0.95416,                0.97567,                0.91459,                0.29468,                0.19483,                0.86015,                0.00505,                0.00505,                0.00505
                    103,                0.37352,                0.25247,                0.85182,                0.97069,                0.94479,                0.97004,                0.90996,                0.29907,                0.19947,                0.86213,              0.0050005,              0.0050005,              0.0050005
